Om	H0	M	w_m	k	alpha	chi
0.2892846674603185	66.27634187575462	-19.298100701283566	0.12706983763598248	32924.63265733451	0.2185545828996042	4894.493304885757
0.2846212976926659	66.80396417379166	-19.286594976772466	0.1270199283204244	33758.07826034632	0.2016404909040019	4706.147671184606
0.2846212976926659	66.80396417379166	-19.286594976772466	0.1270199283204244	33758.07826034632	0.2016404909040019	4706.147671184606
0.2846212976926659	66.80396417379166	-19.286594976772466	0.1270199283204244	33758.07826034632	0.2016404909040019	4706.147671184606
0.2846212976926659	66.80396417379166	-19.286594976772466	0.1270199283204244	33758.07826034632	0.2016404909040019	4706.147671184606
0.2809811878268215	67.02360596728239	-19.28666923313497	0.12622135083144265	34188.282719592746	0.2040653525844447	4662.8159363402065
0.2851932817264426	66.79127953643237	-19.29140642280371	0.12722686255845111	33778.92195349274	0.18336299568884407	4662.399914811915
0.2851932817264426	66.79127953643237	-19.29140642280371	0.12722686255845111	33778.92195349274	0.18336299568884407	4662.399914811915
0.2803944796418316	67.16486118570887	-19.286279327273352	0.12648927463076987	34402.803117555435	0.19183408081622583	4531.185784252847
0.2803944796418316	67.16486118570887	-19.286279327273352	0.12648927463076987	34402.803117555435	0.19183408081622583	4531.185784252847
0.2803944796418316	67.16486118570887	-19.286279327273352	0.12648927463076987	34402.803117555435	0.19183408081622583	4531.185784252847
0.2852440372156705	67.05516645621907	-19.286206746696127	0.12825699621157002	34374.004819052134	0.13829041784771953	4514.137297971056
0.2852440372156705	67.05516645621907	-19.286206746696127	0.12825699621157002	34374.004819052134	0.13829041784771953	4514.137297971056
0.27980937272201295	67.44895149715987	-19.281709484078107	0.12729538639434634	35175.329495465216	0.13005427031432276	4497.054340480798
0.281231249242176	67.38788346570676	-19.27963534515228	0.12771067736144465	34955.430205080236	0.13704944162082666	4463.044737226059
0.2811886612377255	67.63482750464199	-19.27213321432135	0.12862890646864164	35587.80102735327	0.10785278902030676	4337.827906009472
0.2811886612377255	67.63482750464199	-19.27213321432135	0.12862890646864164	35587.80102735327	0.10785278902030676	4337.827906009472
0.2811886612377255	67.63482750464199	-19.27213321432135	0.12862890646864164	35587.80102735327	0.10785278902030676	4337.827906009472
0.2811886612377255	67.63482750464199	-19.27213321432135	0.12862890646864164	35587.80102735327	0.10785278902030676	4337.827906009472
0.2811886612377255	67.63482750464199	-19.27213321432135	0.12862890646864164	35587.80102735327	0.10785278902030676	4337.827906009472
0.27958229919190014	67.67770017356142	-19.27357887398982	0.12805627252789797	35359.05983278159	0.13625843627796416	4242.869402568392
0.27845683058664433	67.73215793382047	-19.274984240575353	0.12774611473638406	35311.932970142465	0.15460628523789832	4137.117985757093
0.2737039792251651	68.18612088492975	-19.269750668231744	0.12725447969600923	36297.10183566063	0.1303792197177102	4065.940601078833
0.2737039792251651	68.18612088492975	-19.269750668231744	0.12725447969600923	36297.10183566063	0.1303792197177102	4065.940601078833
0.2807535008414054	67.82622610071165	-19.274454520909575	0.12915775481485725	35608.233495804954	0.12248848433856656	3932.6689294873167
0.2807535008414054	67.82622610071165	-19.274454520909575	0.12915775481485725	35608.233495804954	0.12248848433856656	3932.6689294873167
0.2772895842223243	68.04605741691302	-19.272460905553388	0.12839245145645628	35996.83898981697	0.12573029196304578	3917.7313791378187
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800921900350737	67.93859189893045	-19.277395342374344	0.12928081525232235	35968.48235856341	0.10795168706001049	3821.4166004100725
0.2800584011438509	67.72906379410085	-19.293251462150398	0.12846912023294235	35614.91537079788	0.11722205291520489	3816.8416718859485
0.2800549910449443	67.75634672224652	-19.291993783185966	0.12857107655473762	35647.92675533507	0.11692053893872692	3796.996075187647
0.2800549910449443	67.75634672224652	-19.291993783185966	0.12857107655473762	35647.92675533507	0.11692053893872692	3796.996075187647
0.2800549910449443	67.75634672224652	-19.291993783185966	0.12857107655473762	35647.92675533507	0.11692053893872692	3796.996075187647
0.2796201072569816	67.81606696450844	-19.296577460770383	0.12859781688699604	35576.57234065166	0.1294950832196464	3600.536679941018
0.27824454364814083	68.0008451519254	-19.287210857039614	0.12866347516397528	35778.79499364128	0.13586094329334594	3576.469230743115
0.27824454364814083	68.0008451519254	-19.287210857039614	0.12866347516397528	35778.79499364128	0.13586094329334594	3576.469230743115
0.27824454364814083	68.0008451519254	-19.287210857039614	0.12866347516397528	35778.79499364128	0.13586094329334594	3576.469230743115
0.28107018146335805	67.74922750416835	-19.293332380066392	0.12901002794597277	35179.773040862754	0.1544416853686149	3518.8901595865223
